Designator,Footprint,Quantity,comment
"SW26,SW2,SW8,SW28,SW33,SW22,SW4,SW15,SW11,SW1,SW14,SW3,SW30,SW40,SW47,SW19,SW32,SW31,SW24,SW10,SW39,SW35,SW36,SW12,SW34,SW25,SW37,SW6,SW16,SW46,SW29,SW23,SW21,SW7,SW9,SW41,SW18,SW20,SW38,SW27,SW17",CherryMX_Hotswap,41,SW_Push
"D52,D50,D48,D51,D49,D12,D41,D9,D5,D30,D13,D20,D29,D2,D28,D6,D34,D42,D37,D23,D33,D21,D3,D8,D35,D17,D26,D45,D27,D47,D39,D10,D16,D14,D15,D36,D43,D1,D40,D18,D22,D32,D38,D11,D25,D44,D24,D4,D31,D7,D46,D19",D_SOD-123,52,1N4148W
"SW43,SW50,SW52,SW44",Inv_CherryMX_Hotswap_1.5u,4,SW_Push
"SW42,SW45,SW51,SW49",Inv_CherryMX_Hotswap_1.25u,4,SW_Push
"L2,L1,L3",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,3,SK6812
SW54,SKQUCAA010,1,SKQUCAA010
SW5,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,1,EC11
U3,Pimoroni Haptic Buzz DRV2605L Driver,1,Pimoroni haptic buzz
J1,PinHeader_1x04_P2.54mm_Vertical,1,BL_CONN
SW48,CherryMX_1u,1,SW_Push
BT1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1,Battery_Cell
"R2,R1,R3",R_0805_2012Metric,3,10k
BZ1,Buzzer_Mallory_AST1109MLTRQ_reversible,1,Buzzer
OL1,OLED_1side,1,OLED
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCA9555PW
C1,C_0805_2012Metric,1,0.1uF
SW13,switch_MSK-12C02_smd,1,ON_OFF
U2,xiao-ble-smd-cutout,1,xiao-ble
